Meha;per:siblings;Varamyr Varamyr
Pyke;per:children;Theon
Eddard Stark Stark's;per:children;Kyra
Eddard Stark Stark's;per:children;Reek
Eddard Stark;per:parents;Stark
Eddard Stark Stark's;per:children;Reek
Daenerys;per:siblings;Daeron II Targaryen
Daemon Blackfyre;per:siblings;Daeron
Obara;per:siblings;Tyene
Ser Hosteen;per:siblings;Theon Greyjoy
Walder Frey;per:parents;Merrett) Frey
Valiant Eddard Stark's;per:spouse;Catelyn Stark
Barbrey;per:siblings;Dustin
Galbart Glover's;per:spouse;Lady Sybelle
Theon;per:parents;Asha Greyjoy
Donnel Flint;per:siblings;Artos
Dalla;per:siblings;Stannis
Cregan;per:siblings;Harrion Karstark
Arya;per:siblings;Jon
Walder Frey;per:parents;Merrett
Walder Frey's;per:spouse;Tytos Blackwood
Karhold;per:siblings;Alys
Queen Selyse;per:spouse;Stannis
Walda Frey;per:parents;Merrett
Walda Frey;per:parents;Merrett
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Theon;per:siblings;Robb
Toregg;per:parents;Tormund
Dalla;per:spouse;Mance Rayder
Shireen;per:siblings;Dalla
Norrey;per:parents;Eddard Stark
Cersei;per:spouse;Jaime
Lancel;per:parents;Cersei
Evenstar;per:children;Lady Brienne
Aegon;per:children;Jaehaerys
Aegon;per:children;Jaehaerys
Aegon;per:children;Jaehaerys
Longwater Pyke;per:siblings;Aeron
Shagga;per:parents;Dolf
Toregg;per:parents;Tormund
Tormund;per:children;Toregg
Knight;per:children;Ronnet
Raymund;per:siblings;Ronnet
Robert Baratheon;per:siblings;Renly
Prince Aegon;per:spouse;Elia
Robert;per:siblings;Stannis
Aegon Targaryen;per:parents;Rhaegar
Arnolf Karstark;per:children;Arthor
Arthor Karstark;per:parents;Arnolf Karstark
Daenerys Targaryen;per:siblings;Aeron
Brusco;per:children;Talea
Brusco;per:children;Talea
Brusco;per:children;Talea
Semosh;per:siblings;Selloso
Grace King Tommen;per:parents;Cersei
Rodrik Stark;per:parents;Beron
Daenerys;per:parents;Ashara
Gerrick;per:spouse;Ser Brus Buckler
Mance Rayder;per:children;Mance Rayder Melisandre
Elia of Dorne;per:spouse;Rhaegar
