he;per:siblings;Renly
Benjen Stark;per:siblings;Joffrey
Joffrey;per:siblings;Benjen Stark
Myrcella;per:siblings;Benjen Stark
Tommen;per:siblings;Benjen Stark
his;per:parents;Septa Mordane
Hullen;per:parents;Septa Mordane
Harwin;per:parents;Septa Mordane
Desmond;per:parents;Septa Mordane
Robb;per:children;Robb
Robb;per:siblings;Robb
Jojen;per:siblings;her
her;per:siblings;Jojen
Jammos;per:parents;Walder Frey
Merrett;per:children;Walder Frey
Merrett;per:children;Jammos
Walder Frey;per:children;Jammos
Walder Frey;per:parents;Merrett
Jammos;per:children;Walder Frey
Walder Frey;per:parents;Jammos
Walder Frey;per:children;Merrett
Jammos;per:children;Merrett
Merrett;per:parents;Walder Frey
Walder Frey;per:parents;Merrett
Her;per:siblings;Her
Her;per:siblings;Her
Merrett;per:parents;Walder Frey
Walder Frey;per:parents;Merrett
Merrett;per:parents;Walder Frey
Merrett;per:children;Walder Frey
Walder Frey;per:parents;Merrett
Walder Frey;per:children;Merrett
Merrett;per:parents;Merrett
Her;per:children;Her
Randyll Tarly;per:parents;greatsword Heartsbane
Catelyn;per:parents;greatsword Heartsbane
greatsword Heartsbane;per:children;Her
Her;per:parents;greatsword Heartsbane
Her;per:parents;Horn Hill
greatsword Heartsbane;per:parents;Horn Hill
Horn Hill;per:parents;greatsword Heartsbane
Her;per:parents;Randyll Tarly
Robb;per:parents;her
her;per:children;Robb
Catelyn Stark;per:children;Robb
Renly;per:siblings;Robert
Robert;per:siblings;Renly
Willum;per:children;Josua
Robert;per:spouse;Joffrey
Joffrey;per:spouse;Robert
Craster;per:spouse;Jon
his;per:spouse;He
Black;per:siblings;Black
Asha;per:siblings;Asha
Balon;per:siblings;Balon
Balon;per:siblings;Balon
Balon;per:siblings;Theon
Esgred;per:siblings;Esgred
Balon;per:siblings;Balon
Balon;per:siblings;Esgred
Esgred;per:siblings;Balon
Balon;per:siblings;Balon
Balon;per:siblings;his
his;per:siblings;Balon
Tyrion;per:siblings;Tyrion
Dorne;per:children;Trystane
Trystane;per:parents;Dorne
Willem Lannister;per:siblings;Tion
Cerwyn;per:siblings;Tion
Myrcella;per:spouse;Trystane Martell
Trystane Martell;per:spouse;Myrcella
her;per:parents;Gregor Clegane
Gregor Clegane;per:children;her
Joffrey;per:children;her
Joffrey;per:children;Gregor Clegane
her;per:children;Chiswyck
her;per:parents;Chiswyck
Chiswyck;per:children;her
Jojen;per:siblings;her
her;per:siblings;Jojen
Arya;per:siblings;Meera
Jojen Reed;per:siblings;Arya
Meera;per:siblings;Arya
Her;per:siblings;Her
Jaime;per:siblings;his
Jaime;per:siblings;Tysha Tysha
his;per:siblings;he
Jaime;per:siblings;Jaime
he;per:siblings;Jaime
Jaime;per:siblings;he
his;per:siblings;Jaime
Tysha Tysha;per:siblings;Jaime
his;per:siblings;Tysha Tysha
Ser Dunaver;per:siblings;Maester Tothmure
Robert;per:siblings;Stannis
Stannis;per:siblings;Robert
Tywin;per:children;Cley
Cley;per:parents;Tywin
Ilyn Payne;per:children;Joffrey
Joffrey;per:parents;Amory Lorch
Ilyn Payne;per:children;his
Meryn Trant;per:parents;Sandor Clegane
Ilyn Payne;per:parents;Ilyn Payne
Joffrey;per:parents;Rafford
Ilyn Payne;per:parents;Meryn Trant
Joffrey;per:parents;Sandor Clegane
his;per:parents;Ilyn Payne
Meryn Trant;per:parents;Ilyn Payne
Joffrey;per:parents;Ilyn Payne
Ilyn Payne;per:parents;Sandor Clegane
Joffrey;per:parents;Meryn Trant
Meryn Trant;per:parents;Meryn Trant
her;per:children;Amory Lorch
Amory Lorch;per:parents;her
her;per:parents;her
Amory Lorch;per:children;her
Jon;per:children;her
her;per:children;her
Amory Lorch;per:parents;her
Robb;per:parents;Amory Lorch
her;per:parents;Robb
her;per:parents;her
Amory Lorch;per:parents;Jon
her;per:parents;Jon
Robb;per:parents;her
Amory Lorch;per:parents;Robb
Robb;per:children;her
her;per:parents;Amory Lorch
Robb;per:parents;Jon
his;per:children;his
Eggon;per:children;his
his;per:parents;his
his;per:children;his
his;per:parents;his
Lysa;per:siblings;Lysa
Tyrion;per:siblings;Lysa
Crane;per:spouse;Hightower
Dunn;per:spouse;Shermer
Selmy;per:spouse;Hightower
Caswell;per:spouse;Crane
Shermer;per:spouse;Dunn
Crane;per:spouse;Caswell
House Florent;per:spouse;House Florent
Selmy;per:spouse;Mullendore
Dunn;per:spouse;House Florent
Hightower;per:spouse;Selmy
Baratheon;per:siblings;Baratheon
his;per:siblings;Brienne
Brienne;per:siblings;his
Sandor Clegane;per:siblings;Hobber
Hobber;per:siblings;Sandor Clegane
his;per:siblings;Hobber
Hobber;per:siblings;his
his;per:siblings;Hobber
Hobber;per:siblings;his
his;per:siblings;Hobber
Hobber;per:siblings;his
Ser Stafford Lannister;per:siblings;Hobber
Sansa;per:siblings;Jaime
Jaime;per:siblings;Sansa
Catelyn;per:children;Lady Minisa Tully
Catelyn;per:children;Catelyn
Robb;per:siblings;Robb
Robb;per:siblings;Robb
Robert;per:siblings;his
his;per:siblings;Robert
Robert;per:siblings;his
his;per:siblings;Robert
his;per:siblings;his
Robert;per:siblings;Robert
Brienne;per:siblings;Robert
his;per:siblings;Brienne
Robert;per:siblings;Brienne
Brienne;per:siblings;his
Robert;per:siblings;his
his;per:siblings;Robert
Robert;per:siblings;his
his;per:siblings;Robert
Robert;per:siblings;his
his;per:siblings;Robert
Robert;per:siblings;his
his;per:siblings;Robert
Robert;per:siblings;his
his;per:siblings;Robert
Jon;per:spouse;Jon
Walder Frey;per:parents;Jammos
Jammos;per:parents;Walder Frey
Walder Frey;per:parents;Jammos
Jammos;per:parents;Walder Frey
Walder Frey;per:parents;Jammos
Jammos;per:siblings;Walder Frey
Walder Frey;per:parents;Jammos
Jammos;per:parents;Walder Frey
Walder Frey;per:parents;Jammos
Jammos;per:parents;Walder Frey
Walder Frey;per:parents;Jammos
Jammos;per:parents;Walder Frey
Walder Frey;per:parents;Jammos
Jammos;per:parents;Walder Frey
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Jammos;per:parents;Walder Frey
Walder Frey;per:parents;Jammos
Jojen Reed;per:siblings;Meera
Meera;per:siblings;Jojen Reed
Meera;per:siblings;Meera
Meera;per:siblings;Jojen
Meera;per:siblings;her
her;per:siblings;Meera
her;per:siblings;his
his;per:siblings;her
her;per:siblings;her
his;per:spouse;his
His;per:siblings;Loras Tyrell
Theon;per:siblings;Black Wind
Black Wind;per:siblings;Theon
Theon;per:siblings;His
His;per:siblings;Black Wind
His;per:siblings;Theon
Black Wind;per:siblings;His
His;per:siblings;His
His;per:siblings;His
Tywin;per:siblings;Ser Kevan
Ser Kevan;per:siblings;Tywin
Walder Frey;per:siblings;Ser Perwyn
Ser Perwyn;per:siblings;Walder Frey
Grace;per:siblings;Ser Edmure
Ser Edmure;per:siblings;Grace
Riverrun;per:siblings;Grace
Grace;per:siblings;Riverrun
Riverrun;per:siblings;Ser Edmure
his;per:siblings;Martyn Rivers
Martyn Rivers;per:siblings;his
his;per:siblings;his
his;per:siblings;Grey Wind
Grey Wind;per:siblings;his
Lucas;per:parents;Tytos
Catelyn;per:siblings;Robin Ryger
Brienne Tarth;per:parents;Selwyn the Evenstar
Selwyn the Evenstar;per:children;Brienne Tarth
Brienne;per:siblings;Ser Edmure Tully
Ser Edmure Tully;per:siblings;Brienne
Tywin;per:children;Tywin
Tywin;per:children;Stannis
Catelyn;per:spouse;Riverrun
Catelyn;per:spouse;Robb
Riverrun;per:spouse;Catelyn
Robb;per:spouse;Robb
Riverrun;per:spouse;Robb
Her;per:siblings;Her
Edmure;per:siblings;Her
Jaime;per:siblings;Edmure
Edmure;per:siblings;Jaime
Jaime;per:siblings;Her
Her;per:siblings;Her
Jon;per:spouse;Lysa
Jon;per:parents;Lysa
Jon;per:parents;Catelyn Stark
Jon;per:parents;Catelyn
her;per:spouse;her
Illyrio;per:siblings;Illyrio
Robert I Baratheon;per:siblings;Illyrio
Illyrio;per:siblings;Robert I Baratheon
her;per:siblings;her
Ser Osmund Kettleblack;per:siblings;Osney
his;per:siblings;Aegon
Aegon;per:siblings;his
Ser Balon Swann;per:siblings;Cersei
Cersei;per:siblings;Ser Balon Swann
Jalabhar Xho;per:parents;Lady Tanda
Lady Tanda;per:children;Jalabhar Xho
Lollys;per:parents;Horas Redwyne
Horas Redwyne;per:children;Lollys
Lady Tanda;per:children;Lady Tanda
Varys;per:siblings;Varys
Tywin Lannister;per:siblings;Devan
Devan;per:siblings;Tywin Lannister
Lannisport;per:siblings;Tywin Lannister
Lannisport;per:siblings;Devan
Tywin Lannister;per:siblings;Lannisport
Devan;per:siblings;Lannisport
Jeor Mormont;per:siblings;Jeor Mormont
Jeor Mormont;per:siblings;Mormont
his;per:parents;She
Her;per:siblings;Her
Her;per:siblings;Her
Catelyn;per:siblings;Edmure
Edmure;per:siblings;Her
Her;per:siblings;Edmure
Her;per:siblings;Catelyn
Catelyn;per:siblings;Her
Edmure;per:siblings;Catelyn
Catelyn;per:siblings;Catelyn
Catelyn;per:children;Edmure
Catelyn;per:parents;her
her;per:parents;her
Uncle Brynden;per:children;Osmynd
Osmynd;per:parents;Maester Kym
Osmynd;per:parents;Uncle Brynden
his;per:siblings;He
his;per:siblings;his
his;per:siblings;his
his;per:siblings;his
his;per:siblings;his
his;per:siblings;his
his;per:siblings;his
his;per:siblings;his
His;per:siblings;his
His;per:siblings;His
his;per:siblings;his
his;per:siblings;His
Walder Frey;per:siblings;Merrett
Merrett;per:siblings;Walder Frey
Jojen Reed;per:siblings;Meera
Meera;per:siblings;Jojen Reed
Lady Whent;per:parents;Ben Blackthumb
Lady Whent;per:parents;Lothston
Ben Blackthumb;per:parents;Ben Blackthumb
Lady Whent;per:parents;Lady Whent
Ben Blackthumb;per:parents;Lothston
Lommy;per:children;Horseface
Horseface;per:children;Arya Stark
Lommy;per:children;Arya Stark
Horseface;per:siblings;Lommy
Lommy;per:children;he
Arya Stark;per:children;Horseface
Arya Stark;per:children;he
Arya Stark;per:children;Lommy
Horseface;per:children;he
Arya Stark;per:children;Arya Stark
Barristan Selmy Willem;per:parents;Barristan Selmy Willem
Dolf;per:parents;Holger
his;per:children;Tyrion
his;per:children;Robb Stark
Tyrion;per:children;Robb Stark
Lady Tanda;per:children;Lady Tanda
her;per:children;Lady Tanda
her;per:children;her
Tyrion;per:children;Tyrion
her;per:children;he
her;per:children;Tyrion
Tyrion;per:parents;her
her;per:parents;her
Tyrion;per:children;her
her;per:children;Lady Tanda
Tyrion;per:children;he
Lady Tanda;per:children;Tyrion
Tyrion;per:children;Lady Tanda
her;per:parents;he
he;per:children;Tyrion
he;per:children;Lady Tanda
Tommen;per:siblings;Tommen
Jon;per:spouse;Jon
Jon Snow;per:siblings;Jon Snow
her;per:spouse;Jon
Jon dirk;per:spouse;Jon
Jon;per:spouse;Jon
Longclaw;per:children;Longclaw
her;per:spouse;Joffrey
Jon;per:siblings;His
Jon;per:siblings;Jon
His;per:siblings;Jon
Tyrion;per:siblings;Tyrion
Tyrion;per:siblings;his
his;per:siblings;Tyrion
his;per:siblings;his
his;per:siblings;Gyles
his;per:siblings;his
his;per:siblings;his
his;per:parents;Tyrion
Tyrion;per:children;his
Tyrion;per:parents;Tyrion
Ser Osmund;per:siblings;Osney
Osney;per:siblings;Ser Osmund
his;per:siblings;Tyrion
his;per:siblings;her
Tyrion;per:siblings;her
her;per:siblings;Tyrion
Robb;per:parents;Walder Frey
his;per:siblings;Theon
Her;per:siblings;Her
Her;per:siblings;Bran Stark
Bran Stark;per:siblings;Her
Rickard;per:siblings;Her
Bran Stark;per:siblings;Rickard
Her;per:siblings;Rickard
Rickard;per:siblings;Bran Stark
Hearteater;per:siblings;Robb
Robb;per:siblings;Robb
Rickon;per:siblings;Jon Snow
Robb;per:siblings;Arya
Jon Snow;per:siblings;Rickon
Arya;per:siblings;Jon Snow
Arya;per:siblings;Robb
Robb;per:siblings;Jon Snow
Rickon;per:siblings;Arya
Jon Snow;per:siblings;Robb
Jon Snow;per:siblings;Arya
Matthos;per:parents;His
His;per:children;Matthos
Behind Davos;per:children;his
Matthos;per:parents;His
His;per:children;Matthos
Matthos;per:children;Matthos
Matthos;per:parents;His
His;per:children;Matthos
Davos;per:children;Matthos
his;per:siblings;Osfryd
Osfryd;per:siblings;his
Ser Osmund;per:siblings;Ser Osmund
his;per:siblings;Ser Osmund
his;per:siblings;his
Ser Osmund;per:siblings;his
Cersei;per:siblings;Osfryd
Osfryd;per:siblings;Cersei
Aemon Aemon Targaryen;per:children;Aemon Aemon Targaryen
Aemon Aemon Targaryen;per:parents;Arya Stark
Aemon Aemon Targaryen;per:parents;Aemon Aemon Targaryen
Arya Stark;per:parents;Aemon Aemon Targaryen
Aenys;per:parents;Rhaenys
Rhaenys;per:children;Aenys
